temp_1,temp_2,temp_3,temp_4,temp_5,action_1,action_2,action_3,action_4,action_5,phase,reward,timestep
171.00477621545141,186.71524720629932,215.44000168699287,196.05945602337476,218.6887135652576,0,3,1,0,1,warmup,,63
170.01574956215913,186.15025497120908,216.73152956634667,194.83095957779082,219.7098439618342,0,0,1,0,1,warmup,,64
169.027301694869,185.64996507702597,217.76997303218837,193.8442834692009,220.73001261508054,0,3,1,0,1,warmup,,65
168.03944576509386,185.29551173613712,218.72555163490443,192.97221202074223,221.7492707058624,0,0,2,3,1,warmup,,66
167.0522106381468,184.8412431434916,219.39701349650946,192.43893950022522,222.76764082712847,0,3,1,0,1,warmup,,67
166.06557548891843,184.43836628141372,219.9971264009541,191.8305701550286,223.7851913367593,0,0,2,3,1,warmup,,68
165.13045632763877,183.8294992777792,220.3754978343042,191.31089551626482,224.80190747726704,0,2,1,0,1,warmup,,69
164.05333438963396,183.17002395176917,220.92362342563928,190.70352735856054,225.8178084020761,0,0,2,2,1,warmup,,70
163.05689535296668,182.4378340208682,221.6902743958354,190.3072178026887,226.8328768336096,0,2,1,0,1,warmup,,71
162.03185338871376,182.04066820367984,222.48336512164425,190.03943204825674,227.84715517694053,0,0,3,1,1,warmup,,72
161.20765765192704,181.9593412746662,222.92935129875303,190.31286808927587,228.86066976022158,0,1,1,2,1,warmup,,73
160.47844500831368,182.46660141829472,223.05669047558516,190.68526039742102,229.8735299507938,3,1,0,1,1,warmup,,74
160.03119266904477,183.32637600529137,222.56183737720764,191.44022618754911,230.88575559678486,0,1,0,2,1,warmup,,75
159.5720689454826,184.5684202215778,221.68583064722614,191.99488342605676,231.8974236818794,3,1,0,1,1,warmup,,76
159.04416671459057,185.78316390420804,220.35774301865575,192.83356191367758,232.90849441762842,0,1,0,2,1,warmup,,77
158.5232365074892,187.15494516665277,219.07108033433397,193.33096552159094,233.8681202027963,2,1,0,1,1,warmup,,78
158.14895758578527,188.211136555886,217.61159715607081,194.14042340519666,234.9697076562361,0,1,0,3,1,warmup,,79
158.09129456411918,189.3985976315715,216.49919373775725,194.53933160176643,235.9906263042009,1,1,0,1,1,warmup,,80
158.55245374003493,190.35606210778226,215.24226300757437,195.07611784343118,237.04006463316455,1,1,0,0,1,warmup,,81
159.3317506715981,191.23829379797152,214.23832576766225,195.13827308480796,237.93014498832358,1,2,0,1,1,warmup,,82
160.48836751327497,191.86240348112145,213.3171142128191,195.35257351603101,238.60905272186164,1,1,3,0,2,warmup,,83
161.66202372383765,192.42186519207522,212.6799103324039,195.1839492769015,239.07141384013124,1,2,0,1,1,warmup,,84
162.83772926388104,192.88080343094262,212.11390515274033,195.3166759398953,239.6144025239126,1,1,3,0,2,warmup,,85
163.80493544224302,193.31288084037482,211.70844140128835,195.23432617045646,240.1385269061227,1,2,0,1,1,warmup,,86
164.8639350594516,193.82033344140598,211.1932726499027,195.4769802719476,240.8566323726854,1,1,3,0,1,warmup,,87
165.92229547793198,194.45308784375433,210.67378132569996,195.44432438325208,241.53373054005596,1,3,0,1,1,warmup,,88
166.98003999896537,195.12791822274795,209.9881560292852,195.48731585409013,242.32480777051552,1,1,2,0,2,warmup,,89
168.03717935790442,196.06258360420333,209.41170353187317,195.31864809442357,243.0343547590984,1,1,0,1,1,warmup,,90
169.09376593776386,197.05108303459534,208.75540073458453,195.47265972895661,243.66949946482006,1,1,2,0,2,warmup,,91
170.14981002301246,198.24128959403657,208.20141854236755,195.6970746039638,243.8957043333434,1,1,0,1,1,warmup,,92
171.20535333744147,199.37581537375095,207.48563029059034,196.4553638315077,243.83400330015206,1,1,2,1,0,warmup,,93
172.26038507542344,200.59083594231637,206.7708647610749,197.36096672115363,243.41448227619208,1,1,0,1,0,warmup,,94
173.26401629394528,201.67813459413856,205.80603554214318,198.72206540514722,242.65025895757122,1,1,0,1,0,warmup,,95
174.40969618215954,202.80971075967935,204.7760484196869,200.0181029539244,241.53014838011362,1,1,0,1,0,warmup,,96
175.47474042311129,203.9402918830749,203.54249650080786,201.4868951768042,240.3987569453354,1,1,0,1,0,warmup,,97
176.56842005312384,205.06982231706178,202.3390816589461,202.64348578895456,239.2392971862838,1,1,0,1,0,warmup,,98
177.502829221663,206.19831297252802,201.05892672930023,203.90942197782292,238.2980749960539,1,1,0,1,0,warmup,,99
